,City,Cloudiness,Country,Date,Humidity,Longitude,Latitude,Max Temp,Wind Speed,Pressure
0,Hermanus,17,ZA,1565570371,96,19.24,-34.42,10.56,2.24,1016.0
1,Avarua,22,CK,1565570371,73,-159.78,-21.21,25.0,3.1,1018.0
2,Soc Trang,20,VN,1565570371,100,105.98,9.6,27.0,2.6,1009.0
3,Najran,40,SA,1565570325,32,44.22,17.54,29.0,4.1,1012.0
4,Kapaa,1,US,1565570371,66,-159.32,22.08,31.0,4.1,1015.0
5,Provideniya,90,RU,1565570371,93,-173.23,64.42,13.0,7.0,1012.0
6,Clyde River,90,CA,1565570185,100,-68.59,70.47,5.0,5.7,1022.0
7,New Norfolk,75,AU,1565570372,57,147.06,-42.78,11.11,9.3,1013.0
8,Balotra,22,IN,1565570372,81,72.24,25.83,27.42,5.33,1001.57
9,Saint-Philippe,1,CA,1565570372,50,-73.48,45.36,24.0,5.1,1011.0
10,Tadine,100,NC,1565570372,92,167.88,-21.55,20.42,8.29,1015.9
11,Albany,20,US,1565570193,49,-73.75,42.65,23.0,4.1,1015.0
12,Ushuaia,75,AR,1565570011,94,-68.31,-54.81,0.0,9.3,1024.0
13,San Cristobal,4,HN,1565570372,60,-86.92,14.68,24.72,3.07,1011.93
14,Bluff,0,AU,1565570141,41,149.07,-23.58,15.42,0.95,1022.21
15,Takanabe,75,JP,1565570373,83,131.49,32.13,29.0,5.1,1003.0
16,Torbay,90,CA,1565570025,82,-52.73,47.66,19.44,5.7,1006.0
17,Amudat,50,UG,1565570373,84,34.95,1.95,18.92,0.88,1013.87
18,Carnarvon,5,ZA,1565570120,91,22.13,-30.97,3.82,3.55,1022.28
19,Tiksi,66,RU,1565570181,64,128.87,71.64,13.62,1.83,1012.49
20,Butaritari,86,KI,1565570348,73,172.79,3.07,28.02,2.92,1010.73
21,Orobo,71,NG,1565570373,98,7.28,6.84,22.12,1.57,1014.74
22,Ostrovnoy,97,RU,1565570198,79,39.51,68.05,6.02,7.19,1016.72
23,Hithadhoo,100,MV,1565570065,71,73.08,-0.6,28.42,5.52,1009.6
24,Talara,0,PE,1565570215,88,-81.27,-4.58,16.92,10.09,1010.33
25,Namtsy,90,RU,1565570374,87,129.66,62.72,15.0,3.0,1006.0
26,Cape Town,75,ZA,1565570047,87,18.42,-33.93,13.33,4.1,1022.0
27,Port Charlotte,75,US,1565570374,88,-82.09,26.98,30.0,3.89,1015.0
28,Prince Rupert,90,CA,1565570182,68,-130.32,54.32,19.0,2.6,1017.0
29,Egvekinot,100,RU,1565570112,91,-179.17,66.32,8.42,2.01,1011.42
30,Mataura,72,NZ,1565570151,74,168.86,-46.19,8.89,4.47,994.0
31,Atuona,0,PF,1565570291,79,-139.03,-9.8,26.22,7.74,1011.3
32,Rikitea,99,PF,1565569910,83,-134.97,-23.12,22.52,8.2,1020.56
33,Port Hardy,75,CA,1565570179,68,-127.42,50.7,18.0,2.1,1017.0
34,Marondera,0,ZW,1565570375,58,31.55,-18.19,14.0,4.1,1025.0
35,Port Alfred,78,ZA,1565570154,75,26.89,-33.59,15.0,2.24,1016.0
36,Vaini,75,IN,1565569925,94,74.49,15.34,22.0,4.1,1010.0
37,Khatanga,0,RU,1565570128,49,102.47,71.98,20.02,2.87,1004.34
38,Arman,100,RU,1565570375,51,150.17,59.7,19.42,1.75,1005.72
39,Chake Chake,7,TZ,1565570375,78,39.77,-5.25,24.72,6.73,1016.89
40,Qaanaaq,95,GL,1565570153,67,-69.36,77.48,7.02,0.68,1024.13
41,Carupano,30,VE,1565570376,86,-63.26,10.67,24.22,1.36,1012.49
42,Hilo,1,US,1565570132,62,-155.08,19.71,29.0,5.7,1015.0
43,Leningradskiy,100,RU,1565570151,93,178.42,69.38,4.42,8.18,1013.91
44,Bredasdorp,28,ZA,1565570348,76,20.04,-34.53,11.0,3.6,1019.0
45,Dikson,94,RU,1565570150,90,80.55,73.51,4.52,4.89,1007.23
46,Airai,1,TL,1565570156,37,125.41,-8.93,27.12,0.7,1016.2
47,Arraial do Cabo,0,BR,1565570142,94,-42.02,-22.97,21.82,4.82,1022.79
48,Hasaki,75,JP,1565570121,88,140.83,35.73,30.0,2.1,1009.0
49,Bethel,40,US,1565570129,77,-161.76,60.79,18.0,6.2,1020.0
50,Pisco,0,PE,1565570145,82,-76.2,-13.71,16.11,4.6,1013.0
51,Kodiak,75,US,1565570153,78,-94.76,39.95,27.78,2.6,1014.0
52,Busselton,0,AU,1565570135,44,115.35,-33.64,13.33,9.56,1014.0
53,Gat,90,SN,1565570147,74,-16.54,14.69,27.0,2.1,1015.0
54,Batagay,0,RU,1565570376,41,134.64,67.65,22.32,1.49,1010.13
55,San Patricio,0,PY,1565570176,89,-56.83,-26.98,16.22,1.51,1013.69
56,East London,50,ZA,1565570068,82,27.91,-33.02,11.12,2.49,1018.03
57,Punta Arenas,0,CL,1565570124,68,-70.91,-53.16,-1.0,3.6,1025.0
58,Kozulka,0,UA,1565570377,93,23.8,50.04,16.0,3.0,1018.0
59,Kruisfontein,13,ZA,1565570136,72,24.73,-34.0,9.52,4.56,1018.12
60,Ilulissat,40,GL,1565570171,30,-51.1,69.22,13.0,4.1,1019.0
61,Ambon,13,FR,1565570377,93,-2.56,47.55,16.11,1.5,1017.0
62,Mazatlan,40,MX,1565570378,62,-106.42,23.22,32.22,3.1,1011.0
63,Piacabucu,23,BR,1565570170,88,-36.43,-10.41,23.22,4.77,1019.16
64,Ilo,87,PE,1565570378,82,-71.34,-17.65,14.62,4.1,1017.07
